date,title,book,chapter
2-19-24,요한복음 1,요한복음,1
2-20-24,요한복음 2,요한복음,2
2-21-24,요한복음 3,요한복음,3
2-22-24,요한복음 4,요한복음,4
2-23-24,요한복음 5,요한복음,5
2-24-24,요한복음 6,요한복음,6
2-26-24,요한복음 7,요한복음,7
2-27-24,요한복음 8,요한복음,8
2-28-24,요한복음 9,요한복음,9
2-29-24,요한복음 10,요한복음,10
3-1-24,요한복음 11,요한복음,11
3-2-24,요한복음 12,요한복음,12
3-4-24,요한복음 13,요한복음,13
3-5-24,요한복음 14,요한복음,14
3-6-24,요한복음 15,요한복음,15
3-7-24,요한복음 16,요한복음,16
3-8-24,요한복음 17,요한복음,17
3-9-24,요한복음 18,요한복음,18
3-11-24,요한복음 19,요한복음,19
3-12-24,요한복음 20,요한복음,20
3-13-24,요한복음 21,요한복음,21
3-14-24,마가복음 1,마가복음,1
3-15-24,마가복음 2,마가복음,2
3-16-24,마가복음 3,마가복음,3
3-18-24,마가복음 4,마가복음,4
3-19-24,마가복음 5,마가복음,5
3-20-24,마가복음 6,마가복음,6
3-21-24,마가복음 7,마가복음,7
3-22-24,마가복음 8,마가복음,8
3-23-24,마가복음 9,마가복음,9
3-25-24,마태복음 21:12-22,마태복음,21
3-26-24,마태복음 21:23-46,마태복음,21
3-27-24,마태복음 26:1-16,마태복음,26
3-28-24,마태복음 26:20-75,마태복음,26
3-29-24,마태복음 27:1-61,마태복음,27
3-30-24,침묵의 토요일,,
4-1-24,마가복음 10,마가복음,10
4-2-24,마가복음 11,마가복음,11
4-3-24,마가복음 12,마가복음,12
4-4-24,마가복음 13,마가복음,13
4-5-24,마가복음 14,마가복음,14
4-6-24,마가복음 15,마가복음,15
4-8-24,마가복음 16,마가복음,16
4-9-24,누가복음 1,누가복음,1
4-10-24,누가복음 2,누가복음,2
4-11-24,누가복음 3,누가복음,3
4-12-24,누가복음 4,누가복음,4
4-13-24,누가복음 5,누가복음,5
4-15-24,누가복음 6,누가복음,6
4-16-24,누가복음 7,누가복음,7
4-17-24,누가복음 8,누가복음,8
4-18-24,누가복음 9,누가복음,9
4-19-24,누가복음 10,누가복음,10
4-20-24,누가복음 11,누가복음,11
4-22-24,누가복음 12,누가복음,12
4-23-24,누가복음 13,누가복음,13
4-24-24,누가복음 14,누가복음,14
4-25-24,누가복음 15,누가복음,15
4-26-24,누가복음 16,누가복음,16
4-27-24,누가복음 17,누가복음,17
4-29-24,누가복음 18,누가복음,18
4-30-24,누가복음 19,누가복음,19
5-1-24,누가복음 20,누가복음,20
5-2-24,누가복음 21,누가복음,21
5-3-24,누가복음 22,누가복음,22
5-4-24,누가복음 23,누가복음,23
5-6-24,누가복음 24,누가복음,24
5-7-24,마태복음 1,마태복음,1
5-8-24,마태복음 2,마태복음,2
5-9-24,마태복음 3,마태복음,3
5-10-24,마태복음 4,마태복음,4
5-11-24,마태복음 5,마태복음,5
5-13-24,마태복음 6,마태복음,6
5-14-24,마태복음 7,마태복음,7
5-15-24,마태복음 8,마태복음,8
5-16-24,마태복음 9,마태복음,9
5-17-24,마태복음 10,마태복음,10
5-18-24,마태복음 11,마태복음,11
5-20-24,마태복음 12,마태복음,12
5-21-24,마태복음 13,마태복음,13
5-22-24,마태복음 14,마태복음,14
5-23-24,마태복음 15,마태복음,15
5-24-24,마태복음 16,마태복음,16
5-25-24,마태복음 17,마태복음,17
5-27-24,마태복음 18,마태복음,18
5-28-24,마태복음 19,마태복음,19
5-29-24,마태복음 20,마태복음,20
5-30-24,마태복음 21,마태복음,21
5-31-24,마태복음 22,마태복음,22
6-1-24,마태복음 23,마태복음,23
6-3-24,마태복음 24,마태복음,24
6-4-24,마태복음 25,마태복음,25
6-5-24,마태복음 26,마태복음,26
6-6-24,마태복음 27,마태복음,27
6-7-24,마태복음 28,마태복음,28
6-9-24,Celebrate!,,
